timestamp,pose_id,q0,qx,qy,qz,tx,ty,tz,error,x,y,z,u,v,w
1773712996.0840225,1,0.4615890681743622,-0.5439553260803223,-0.509670078754425,-0.4809205234050751,92.70124816894531,45.38337707519531,-2006.251708984375,0.1408911645412445,581.11505,-101.288246,306.15646,89.37977,-174.49802,80.50941
1773712996.1013563,1,0.46147799491882324,-0.543961226940155,-0.5097474455833435,-0.48093849420547485,92.68885803222656,45.341739654541016,-2006.232666015625,0.1426009088754654,581.1159,-101.28858,306.1573,89.3799,-174.498,80.50939
1773712996.1174517,1,0.4615292251110077,-0.5439245104789734,-0.5097002387046814,-0.480980783700943,92.66455078125,45.30094909667969,-2006.2510986328125,0.1432526856660843,581.11633,-101.28887,306.15793,89.38001,-174.498,80.509384
1773712996.1314404,1,0.4617158770561218,-0.5438634753227234,-0.5095551609992981,-0.48102447390556335,92.65966033935547,45.27381896972656,-2006.271240234375,0.1473652422428131,581.117,-101.28913,306.15857,89.38011,-174.49799,80.50937
1773712996.1456733,1,0.461530864238739,-0.5439997315406799,-0.5097213983535767,-0.48087170720100403,92.6683120727539,45.26205825805664,-2006.228515625,0.1454315036535263,581.1178,-101.28947,306.1594,89.38026,-174.498,80.509346
1773712996.1614354,1,0.46163567900657654,-0.5438753962516785,-0.5096163153648376,-0.48102307319641113,92.68488311767578,45.27003860473633,-2006.2548828125,0.14869087934494019,581.11835,-101.289696,306.16,89.38036,-174.498,80.50933
1773712996.1739724,1,0.4615771174430847,-0.5438525080680847,-0.5096892714500427,-0.48102787137031555,92.69418334960938,45.29281997680664,-2006.2613525390625,0.1478080153465271,581.1188,-101.28999,306.1605,89.380455,-174.49799,80.509315
1773712996.1858172,1,0.461564838886261,-0.5440621972084045,-0.5096710324287415,-0.48082172870635986,92.69287109375,45.3223876953125,-2006.2279052734375,0.14193151891231537,581.11914,-101.28997,306.1608,89.38051,-174.49802,80.50933
1773712996.1986408,1,0.4615231454372406,-0.5439720749855042,-0.509693443775177,-0.4809400737285614,92.687744140625,45.35884094238281,-2006.2325439453125,0.14327917993068695,581.1196,-101.2903,306.16132,89.3806,-174.498,80.509315
1773712996.2120538,1,0.46153005957603455,-0.5438516139984131,-0.5097132921218872,-0.4810486137866974,92.68372344970703,45.389739990234375,-2006.2469482421875,0.14305543899536133,581.1202,-101.29053,306.16193,89.3807,-174.498,80.5093
1773713001.68645,2,0.4509437084197998,-0.5181598663330078,-0.5210845470428467,-0.506587564945221,48.71302795410156,43.386451721191406,-2000.765625,0.14154399931430817,585.19293,-104.24031,350.69376,93.73084,-174.39851,78.60574
1773713001.699052,2,0.45132291316986084,-0.5182413458824158,-0.5207138657569885,-0.5065476894378662,48.717498779296875,43.378170013427734,-2000.7919921875,0.14101320505142212,585.1929,-104.24026,350.69354,93.73082,-174.39853,78.60576
1773713001.7131467,2,0.4510420262813568,-0.5179910063743591,-0.5209669470787048,-0.5067935585975647,48.729366302490234,43.37282943725586,-2000.801513671875,0.13838507235050201,585.1928,-104.24019,350.69354,93.73084,-174.39856,78.60579
1773713001.729078,2,0.4510442912578583,-0.5179421901702881,-0.5209792256355286,-0.5068289637565613,48.743873596191406,43.371212005615234,-2000.7943115234375,0.1456017792224884,585.1926,-104.24009,350.69333,93.73082,-174.39857,78.605804
1773713001.7422142,2,0.4508020579814911,-0.5178762674331665,-0.5211955308914185,-0.5068895220756531,48.741519927978516,43.37016296386719,-2000.7879638671875,0.14388248324394226,585.1926,-104.24006,350.69327,93.73082,-174.39862,78.60582
1773713001.7567449,2,0.45079293847084045,-0.5180060267448425,-0.5211938619613647,-0.5067667365074158,48.73981857299805,43.365989685058594,-2000.7615966796875,0.142923504114151,585.1926,-104.239876,350.6933,93.73084,-174.39862,78.60586
1773713001.7693222,2,0.45100322365760803,-0.5181045532226562,-0.5210149884223938,-0.5066628456115723,48.726375579833984,43.36960220336914,-2000.774658203125,0.1492220163345337,585.19257,-104.23997,350.69324,93.73083,-174.39862,78.60586
1773713001.7811096,2,0.45094308257102966,-0.517924964427948,-0.521064281463623,-0.5068491697311401,48.7144889831543,43.37263107299805,-2000.7777099609375,0.13810722529888153,585.1925,-104.23977,350.6931,93.73083,-174.39868,78.605896
1773713001.7932265,2,0.45095083117485046,-0.5180848836898804,-0.521058976650238,-0.5066843032836914,48.71134567260742,43.3786735534668,-2000.7607421875,0.14273548126220703,585.1925,-104.23976,350.69305,93.73084,-174.3987,78.6059
1773713001.8063095,2,0.4508039951324463,-0.517896294593811,-0.521192193031311,-0.5068706274032593,48.71848678588867,43.38333511352539,-2000.7696533203125,0.13856829702854156,585.19244,-104.23968,350.6931,93.73085,-174.3987,78.60593
1773713008.9636972,3,0.5148749947547913,-0.5318564772605896,-0.456883043050766,-0.4932447075843811,-32.071327209472656,34.96940612792969,-2004.824951171875,0.1594531387090683,577.7852,-110.16375,430.8139,85.130165,-174.56061,73.39871
1773713008.976779,3,0.5148965716362,-0.5318019390106201,-0.45688050985336304,-0.49328330159187317,-32.078182220458984,34.997894287109375,-2004.8074951171875,0.15590102970600128,577.7853,-110.163635,430.81393,85.13018,-174.56061,73.39872
1773713008.9889853,3,0.5149335265159607,-0.5317869782447815,-0.45680946111679077,-0.4933266341686249,-32.11327362060547,35.02013397216797,-2004.8192138671875,0.17021307349205017,577.7852,-110.16375,430.81384,85.130165,-174.56062,73.398705
1773713009.0067372,3,0.5146810412406921,-0.531792402267456,-0.4571060538291931,-0.49330949783325195,-32.13345718383789,35.040775299072266,-2004.7799072265625,0.16599716246128082,577.78516,-110.163605,430.81357,85.130135,-174.56061,73.39872
1773713009.021952,3,0.5147491693496704,-0.5317665338516235,-0.45701903104782104,-0.49334704875946045,-32.135955810546875,35.09325408935547,-2004.7998046875,0.17552749812602997,577.7851,-110.163574,430.81366,85.13014,-174.5606,73.39873
1773713009.0343704,3,0.5149250030517578,-0.5318291783332825,-0.4568161368370056,-0.4932839274406433,-32.11064147949219,35.10436248779297,-2004.796142578125,0.15747018158435822,577.78516,-110.163475,430.81378,85.13017,-174.5606,73.398735
1773713009.0471797,3,0.5148981809616089,-0.531857967376709,-0.45679178833961487,-0.49330344796180725,-32.059906005859375,35.114044189453125,-2004.79541015625,0.15424923598766327,577.78516,-110.16345,430.81372,85.13017,-174.5606,73.398735
1773713009.0584989,3,0.51455157995224,-0.5317266583442688,-0.457186758518219,-0.493440717458725,-32.07965850830078,35.115543365478516,-2004.781982421875,0.15800122916698456,577.78516,-110.16346,430.8136,85.13015,-174.5606,73.398735
1773713009.0717983,3,0.5146735310554504,-0.5317080616950989,-0.45707058906555176,-0.4934411644935608,-32.10512161254883,35.136444091796875,-2004.788330078125,0.1588413119316101,577.78516,-110.16344,430.8136,85.13016,-174.56058,73.39875
