timestamp,pose_id,q0,qx,qy,qz,tx,ty,tz,error,x,y,z,u,v,w
1775118641.5270922,1,0.7117562294006348,-0.007811819203197956,-0.6909773349761963,0.12606468796730042,-228.5342254638672,-19.996723175048828,-1927.936767578125,0.17431862652301788,562.6458,-51.2435,550.13416,91.92105,80.59943,104.102135
1775118641.5390904,1,0.7115649580955505,-0.00765359727665782,-0.6912108063697815,0.12587447464466095,-228.52499389648438,-19.993879318237305,-1927.929443359375,0.1747608482837677,562.6467,-51.243732,550.1347,91.92043,80.59948,104.101494
1775118641.5525603,1,0.7116939425468445,-0.00784735381603241,-0.6910322308540344,0.12611350417137146,-228.521240234375,-19.99437141418457,-1927.9532470703125,0.17264021933078766,562.6465,-51.24333,550.13403,91.921295,80.59948,104.10242
1775118641.580205,1,0.7115418910980225,-0.007919186726212502,-0.6911770105361938,0.12617367506027222,-228.53538513183594,-19.99498748779297,-1927.9461669921875,0.17376171052455902,562.6471,-51.24355,550.134,91.92129,80.59943,104.10236
1775118641.5903757,1,0.7115960121154785,-0.008000346831977367,-0.6911031007766724,0.12626789510250092,-228.54586791992188,-19.99728012084961,-1927.9654541015625,0.17152896523475647,562.6468,-51.243736,550.13495,91.920746,80.59958,104.10185
1775118641.6053722,1,0.7116590738296509,-0.007686065975576639,-0.6911076307296753,0.1259067803621292,-228.5482940673828,-20.000736236572266,-1927.948974609375,0.17451100051403046,562.64703,-51.24451,550.1357,91.92018,80.599525,104.1012
1775118641.6180568,1,0.7116407752037048,-0.008005497045814991,-0.6910583972930908,0.12625999748706818,-228.54556274414062,-20.001747131347656,-1927.9573974609375,0.16743427515029907,562.6476,-51.24353,550.13513,91.920395,80.59958,104.10152
1775118641.6298637,1,0.7115801572799683,-0.007838751189410686,-0.6911535859107971,0.1260911226272583,-228.54586791992188,-20.002161026000977,-1927.96484375,0.16989730298519135,562.64764,-51.244,550.1354,91.91974,80.59958,104.10081
1775118641.6397753,1,0.7116575837135315,-0.007924453355371952,-0.691053032875061,0.12620021402835846,-228.53646850585938,-19.99884796142578,-1927.9552001953125,0.1783485859632492,562.6477,-51.243095,550.1363,91.918846,80.599525,104.100006
1775118641.652188,1,0.7115905284881592,-0.008053592406213284,-0.6911053657531738,0.12628306448459625,-228.53341674804688,-20.002790451049805,-1927.946044921875,0.17360246181488037,562.6473,-51.24277,550.13684,91.91896,80.59958,104.100174
