timestamp,q0,qx,qy,qz,tx,ty,tz,ndi_error_mm,pred_x,pred_y,pred_z,pred_u,pred_v,pred_w,real_x,real_y,real_z,real_u,real_v,real_w,err_x,err_y,err_z,pos_err_mm,err_u_wrap,err_v_wrap,err_w_wrap,rot_err_geodesic_deg,gimbal_lock_warning
2026-03-17 11:36:53.076,0.6958333253860474,-0.03243495151400566,-0.7133428454399109,0.076850026845932,-57.44818878173828,-58.92015838623047,-1925.2861328125,0.16148805618286133,629.2963735899573,-224.77996113054436,458.31364596399163,21.09586159006188,86.59922155173194,13.874763818051996,624.9939,-298.79062,455.38977,12.081413,87.45782,6.156422,4.302473589957231,74.01065886945563,2.923875963991634,74.1932473742457,9.014448590061875,-0.8585984482680544,7.718341818051982,1.6124273058365095,True
2026-03-17 11:36:53.125,0.6956115365028381,-0.03239951282739639,-0.7135632634162903,0.07682638615369797,-57.43424987792969,-58.91948318481445,-1925.272705078125,0.16562025249004364,629.3095074670259,-224.7835029302659,458.3030318419705,20.860401713801178,86.56639166869329,13.633981863493261,624.9939,-298.79065,455.38962,12.081376,87.45783,6.1563888,4.31560746702587,74.00714706973412,2.9134118419705146,74.19009538861395,8.77902571380119,-0.8914383313067162,7.477593063493259,1.631739968747284,True
2026-03-17 11:36:53.174,0.6957220435142517,-0.032488130033016205,-0.713447093963623,0.07686741650104523,-57.44557571411133,-58.922706604003906,-1925.280029296875,0.16178584098815918,629.3019034281099,-224.7836719449835,458.31280356005016,20.92419416926857,86.58453885889563,13.708566890378842,624.9939,-298.79062,455.38962,12.081678,87.45783,6.1566916,4.308003428109828,74.0069480550165,2.9231835600501768,74.18983930485537,8.842516169268578,-0.8732911411043744,7.551875290378831,1.6138900128093976,True
2026-03-17 11:36:53.228,0.6959142088890076,-0.032333385199308395,-0.7132812738418579,0.07673155516386032,-57.43832015991211,-58.92015838623047,-1925.305419921875,0.16176708042621613,629.2770056841039,-224.77624168290274,458.3023831099886,21.168790368502556,86.61049722910145,13.929967575667524,624.9939,-298.79062,455.38962,12.081678,87.45783,6.1566916,4.283105684103816,74.01437831709725,2.9127631099886457,74.19539999826478,9.087112368502545,-0.8473327708985607,7.773275975667531,1.6214627968734618,True
2026-03-17 11:36:53.278,0.6957559585571289,-0.03250976279377937,-0.7134088277816772,0.07690639793872833,-57.44575881958008,-58.9196662902832,-1925.265869140625,0.15783192217350006,629.3166407355333,-224.7841464810991,458.3126604016003,20.98380434894208,86.58918373352205,13.773195889803588,624.9939,-298.79062,455.38974,12.081199,87.457825,6.156212,4.322740735533216,74.00647351890089,2.9229204016002654,74.19021279012824,8.902605348942075,-0.8686412664779368,7.616983889803578,1.6081327033196537,True
2026-03-17 11:36:53.332,0.6958082914352417,-0.03235828876495361,-0.7133828997612,0.07673698663711548,-57.4425163269043,-58.92696762084961,-1925.2896728515625,0.1577870398759842,629.2904384142328,-224.7868785942473,458.308425539284,21.023133023883123,86.59589773902877,13.78652426215999,624.9939,-298.79062,455.38974,12.080896,87.45783,6.155909,4.296538414232714,74.00374140575269,2.918685539283956,74.18579857136889,8.942237023883138,-0.8619322609712299,7.630615262159978,1.6256597216772537,True
2026-03-17 11:36:53.380,0.6957443356513977,-0.032573431730270386,-0.7134084105491638,0.07698867470026016,-57.44963836669922,-58.92060470581055,-1925.2823486328125,0.157878577709198,629.3010025710596,-224.77960662233082,458.31635868175084,20.99282219306022,86.58756397256535,13.794071524106844,624.99396,-298.79062,455.38965,12.081591,87.457825,6.156599,4.307042571059583,74.01101337766917,2.9267086817508243,74.19397779204374,8.911231193060217,-0.8702610274346512,7.63747252410684,1.5997765605907652,True
2026-03-17 11:36:53.433,0.6957199573516846,-0.03241388872265816,-0.7134586572647095,0.07681120932102203,-57.433048248291016,-58.91627502441406,-1925.2655029296875,0.1644802689552307,629.3173348923847,-224.78233704537723,458.30047337766126,20.945345400056272,86.58306261356594,13.719101966941295,624.99384,-298.79077,455.38962,12.081376,87.45783,6.1563773,4.323494892384701,74.00843295462278,2.910853377661283,74.1917368975118,8.863969400056277,-0.8747673864340584,7.562724666941307,1.6234105263065404,True
2026-03-17 11:36:53.483,0.6960498690605164,-0.03233828395605087,-0.7131484150886536,0.07673445343971252,-57.446533203125,-58.92177963256836,-1925.308349609375,0.16127517819404602,629.2736396406485,-224.77685427543398,458.3086425756908,21.32278098072929,86.63024511468119,14.084909263022608,624.9939,-298.79062,455.38953,12.081251,87.45785,6.156263,4.279739640648472,74.01376572456601,2.9191125756908036,74.19484420330187,9.241529980729297,-0.8276048853188058,7.928646263022614,1.6122564801343828,True
2026-03-17 11:36:53.536,0.6957690119743347,-0.032562728971242905,-0.7133898138999939,0.07694226503372192,-57.43667984008789,-58.92509078979492,-1925.270751953125,0.1589723825454712,629.310954070408,-224.78752418291668,458.3033213254255,20.9765082777938,86.59202768034473,13.773154254535124,624.9939,-298.79062,455.38974,12.081199,87.457825,6.156212,4.3170540704079485,74.0030958170833,2.9135813254254685,74.18614494970814,8.895309277793814,-0.8657973196552575,7.616942254535132,1.6007068088902696,True
